id,song_path,hum_path
001f2be7054f1b28,song/001f2be7054f1b28_1_2fa58bb99cf6c301.mp3,hum/001f2be7054f1b28_1_d606fadbb07d9a48.wav
001f2be7054f1b28,song/001f2be7054f1b28_1_2fa58bb99cf6c301.mp3,hum/001f2be7054f1b28_1_616d2185f49090d4.wav
001f2be7054f1b28,song/001f2be7054f1b28_1_2fa58bb99cf6c301.mp3,hum/001f2be7054f1b28_1_9da4fcda15169156.wav
001f2be7054f1b28,song/001f2be7054f1b28_1_2fa58bb99cf6c301.mp3,hum/001f2be7054f1b28_1_a3d1a095cc2d9b66.wav
001f2be7054f1b28,song/001f2be7054f1b28_1_2fa58bb99cf6c301.mp3,hum/001f2be7054f1b28_1_8ebf470b2c5dd9d9.wav
02064d84d52b1f83,song/02064d84d52b1f83_1_3e82a55c20d0cb86.mp3,hum/02064d84d52b1f83_1_c915f2d1480b759a.wav
02064d84d52b1f83,song/02064d84d52b1f83_1_3e82a55c20d0cb86.mp3,hum/02064d84d52b1f83_1_b284f375bbe1c914.wav
02064d84d52b1f83,song/02064d84d52b1f83_1_3e82a55c20d0cb86.mp3,hum/02064d84d52b1f83_1_7a7425fe9f826d41.wav
02064d84d52b1f83,song/02064d84d52b1f83_1_3e82a55c20d0cb86.mp3,hum/02064d84d52b1f83_1_2d82b64bca5390a0.wav
02064d84d52b1f83,song/02064d84d52b1f83_2_0ab98cf955926818.mp3,hum/02064d84d52b1f83_2_3c4550e02d80ee27.wav
02064d84d52b1f83,song/02064d84d52b1f83_2_0ab98cf955926818.mp3,hum/02064d84d52b1f83_2_1aa5dd2c05290ffd.wav
02064d84d52b1f83,song/02064d84d52b1f83_2_0ab98cf955926818.mp3,hum/02064d84d52b1f83_2_752c26ad466cff2d.wav
02064d84d52b1f83,song/02064d84d52b1f83_2_0ab98cf955926818.mp3,hum/02064d84d52b1f83_2_9f4b01430126f05b.wav
02064d84d52b1f83,song/02064d84d52b1f83_2_0ab98cf955926818.mp3,hum/02064d84d52b1f83_2_f4ce6b558d696f5b.wav
02064d84d52b1f83,song/02064d84d52b1f83_2_0ab98cf955926818.mp3,hum/02064d84d52b1f83_2_95c2e876e64473b2.wav
02064d84d52b1f83,song/02064d84d52b1f83_2_0ab98cf955926818.mp3,hum/02064d84d52b1f83_2_c7c27d7826355d31.wav
02064d84d52b1f83,song/02064d84d52b1f83_2_0ab98cf955926818.mp3,hum/02064d84d52b1f83_2_b0d6c93b21a8c66a.wav
02064d84d52b1f83,song/02064d84d52b1f83_2_0ab98cf955926818.mp3,hum/02064d84d52b1f83_2_9847c32e9c14103d.wav
02064d84d52b1f83,song/02064d84d52b1f83_3_604f637709b8c9e2.mp3,hum/02064d84d52b1f83_3_967f6099a471254f.wav
02064d84d52b1f83,song/02064d84d52b1f83_3_604f637709b8c9e2.mp3,hum/02064d84d52b1f83_3_c92abe7323b02b64.wav
02064d84d52b1f83,song/02064d84d52b1f83_3_604f637709b8c9e2.mp3,hum/02064d84d52b1f83_3_11025f275c913c2e.wav
02064d84d52b1f83,song/02064d84d52b1f83_3_604f637709b8c9e2.mp3,hum/02064d84d52b1f83_3_8b28e23b73f0e949.wav
02064d84d52b1f83,song/02064d84d52b1f83_3_604f637709b8c9e2.mp3,hum/02064d84d52b1f83_3_fd0519380793135d.wav
02064d84d52b1f83,song/02064d84d52b1f83_3_604f637709b8c9e2.mp3,hum/02064d84d52b1f83_3_7fe207b056b90a09.wav
02064d84d52b1f83,song/02064d84d52b1f83_4_a60f45689414ce06.mp3,hum/02064d84d52b1f83_4_295dac28467166da.wav
02064d84d52b1f83,song/02064d84d52b1f83_4_a60f45689414ce06.mp3,hum/02064d84d52b1f83_4_c586054bba8a85d7.wav
02064d84d52b1f83,song/02064d84d52b1f83_4_a60f45689414ce06.mp3,hum/02064d84d52b1f83_4_4ec37225f70c0586.wav
02064d84d52b1f83,song/02064d84d52b1f83_5_1e39b74bc0ac12ad.mp3,hum/02064d84d52b1f83_5_b6b0066d33571278.wav
02064d84d52b1f83,song/02064d84d52b1f83_5_1e39b74bc0ac12ad.mp3,hum/02064d84d52b1f83_5_869b058c31b48976.wav
02064d84d52b1f83,song/02064d84d52b1f83_5_1e39b74bc0ac12ad.mp3,hum/02064d84d52b1f83_5_cdb1128d6730e7db.wav
02064d84d52b1f83,song/02064d84d52b1f83_5_1e39b74bc0ac12ad.mp3,hum/02064d84d52b1f83_5_22a88afb0faaa281.wav
02064d84d52b1f83,song/02064d84d52b1f83_5_1e39b74bc0ac12ad.mp3,hum/02064d84d52b1f83_5_fe7522861683ad58.wav
04154c76eacfde72,song/04154c76eacfde72_1_8441410c2cab3239.mp3,hum/04154c76eacfde72_1_c7bedaa00770822e.wav
04154c76eacfde72,song/04154c76eacfde72_1_8441410c2cab3239.mp3,hum/04154c76eacfde72_1_d5749dbfbed40375.wav
04154c76eacfde72,song/04154c76eacfde72_1_8441410c2cab3239.mp3,hum/04154c76eacfde72_1_346ed994f665e29b.wav
04154c76eacfde72,song/04154c76eacfde72_1_8441410c2cab3239.mp3,hum/04154c76eacfde72_1_017b109c84756eeb.wav
04154c76eacfde72,song/04154c76eacfde72_1_8441410c2cab3239.mp3,hum/04154c76eacfde72_1_7fa2158729221499.wav
043d6e67bc3d01c8,song/043d6e67bc3d01c8_1_3ec504b8e56db421.mp3,hum/043d6e67bc3d01c8_1_5e3d052eeb0570e8.wav
043d6e67bc3d01c8,song/043d6e67bc3d01c8_1_3ec504b8e56db421.mp3,hum/043d6e67bc3d01c8_1_510900da045caf8f.wav
043d6e67bc3d01c8,song/043d6e67bc3d01c8_1_3ec504b8e56db421.mp3,hum/043d6e67bc3d01c8_1_46b8671060585afe.wav
