music_id,group_id,song_path,hum_path
0,001f2be7054f1b28,song/2fa58bb99cf6c301.mp3,hum/8ebf470b2c5dd9d9.wav
1,001f2be7054f1b28,song/2fa58bb99cf6c301.mp3,hum/9da4fcda15169156.wav
2,001f2be7054f1b28,song/2fa58bb99cf6c301.mp3,hum/616d2185f49090d4.wav
3,001f2be7054f1b28,song/2fa58bb99cf6c301.mp3,hum/d606fadbb07d9a48.wav
4,001f2be7054f1b28,song/2fa58bb99cf6c301.mp3,hum/a3d1a095cc2d9b66.wav
5,02064d84d52b1f83,song/0ab98cf955926818.mp3,hum/3c4550e02d80ee27.wav
6,02064d84d52b1f83,song/1e39b74bc0ac12ad.mp3,hum/3c4550e02d80ee27.wav
7,02064d84d52b1f83,song/604f637709b8c9e2.mp3,hum/3c4550e02d80ee27.wav
8,02064d84d52b1f83,song/3e82a55c20d0cb86.mp3,hum/3c4550e02d80ee27.wav
9,02064d84d52b1f83,song/0ab98cf955926818.mp3,hum/95c2e876e64473b2.wav
10,02064d84d52b1f83,song/1e39b74bc0ac12ad.mp3,hum/95c2e876e64473b2.wav
11,02064d84d52b1f83,song/604f637709b8c9e2.mp3,hum/95c2e876e64473b2.wav
12,02064d84d52b1f83,song/3e82a55c20d0cb86.mp3,hum/95c2e876e64473b2.wav
13,02064d84d52b1f83,song/0ab98cf955926818.mp3,hum/c7c27d7826355d31.wav
14,02064d84d52b1f83,song/1e39b74bc0ac12ad.mp3,hum/c7c27d7826355d31.wav
15,02064d84d52b1f83,song/604f637709b8c9e2.mp3,hum/c7c27d7826355d31.wav
16,02064d84d52b1f83,song/3e82a55c20d0cb86.mp3,hum/c7c27d7826355d31.wav
17,02064d84d52b1f83,song/0ab98cf955926818.mp3,hum/8b28e23b73f0e949.wav
18,02064d84d52b1f83,song/1e39b74bc0ac12ad.mp3,hum/8b28e23b73f0e949.wav
19,02064d84d52b1f83,song/604f637709b8c9e2.mp3,hum/8b28e23b73f0e949.wav
20,02064d84d52b1f83,song/3e82a55c20d0cb86.mp3,hum/8b28e23b73f0e949.wav
21,02064d84d52b1f83,song/0ab98cf955926818.mp3,hum/7fe207b056b90a09.wav
22,02064d84d52b1f83,song/1e39b74bc0ac12ad.mp3,hum/7fe207b056b90a09.wav
23,02064d84d52b1f83,song/604f637709b8c9e2.mp3,hum/7fe207b056b90a09.wav
24,02064d84d52b1f83,song/3e82a55c20d0cb86.mp3,hum/7fe207b056b90a09.wav
25,02064d84d52b1f83,song/0ab98cf955926818.mp3,hum/c915f2d1480b759a.wav
26,02064d84d52b1f83,song/1e39b74bc0ac12ad.mp3,hum/c915f2d1480b759a.wav
27,02064d84d52b1f83,song/604f637709b8c9e2.mp3,hum/c915f2d1480b759a.wav
28,02064d84d52b1f83,song/3e82a55c20d0cb86.mp3,hum/c915f2d1480b759a.wav
29,04154c76eacfde72,song/8441410c2cab3239.mp3,hum/017b109c84756eeb.wav
30,04154c76eacfde72,song/8441410c2cab3239.mp3,hum/346ed994f665e29b.wav
31,04154c76eacfde72,song/8441410c2cab3239.mp3,hum/7fa2158729221499.wav
32,04154c76eacfde72,song/8441410c2cab3239.mp3,hum/d5749dbfbed40375.wav
33,04154c76eacfde72,song/8441410c2cab3239.mp3,hum/c7bedaa00770822e.wav
34,043d6e67bc3d01c8,song/d58d2228407aedc5.mp3,hum/5ef86383f63cd465.wav
35,043d6e67bc3d01c8,song/3ec504b8e56db421.mp3,hum/5ef86383f63cd465.wav
36,043d6e67bc3d01c8,song/d58d2228407aedc5.mp3,hum/ff24918b7b4d618c.wav
37,043d6e67bc3d01c8,song/3ec504b8e56db421.mp3,hum/ff24918b7b4d618c.wav
38,043d6e67bc3d01c8,song/d58d2228407aedc5.mp3,hum/c780c6206d0d1182.wav
39,043d6e67bc3d01c8,song/3ec504b8e56db421.mp3,hum/c780c6206d0d1182.wav
40,043d6e67bc3d01c8,song/d58d2228407aedc5.mp3,hum/e29eb6a65871e724.wav
41,043d6e67bc3d01c8,song/3ec504b8e56db421.mp3,hum/e29eb6a65871e724.wav
42,043d6e67bc3d01c8,song/d58d2228407aedc5.mp3,hum/510900da045caf8f.wav
43,043d6e67bc3d01c8,song/3ec504b8e56db421.mp3,hum/510900da045caf8f.wav
44,043d6e67bc3d01c8,song/d58d2228407aedc5.mp3,hum/b1be4a14bcc01e2b.wav
45,043d6e67bc3d01c8,song/3ec504b8e56db421.mp3,hum/b1be4a14bcc01e2b.wav
46,05315cc83e38919a,song/4669af186ee157f5.mp3,hum/a33c23c9a79633cf.wav
47,05315cc83e38919a,song/15bb8d893abb9eff.mp3,hum/a33c23c9a79633cf.wav
48,05315cc83e38919a,song/5dcc01b57c63e6a2.mp3,hum/a33c23c9a79633cf.wav
50,05315cc83e38919a,song/bbfbd10b3d3d6eec.mp3,hum/a33c23c9a79633cf.wav
51,05315cc83e38919a,song/75c8cba8ed3e39dc.mp3,hum/a33c23c9a79633cf.wav
52,05315cc83e38919a,song/ddf8e2ccfe88af32.mp3,hum/a33c23c9a79633cf.wav
53,05315cc83e38919a,song/14e6e8b07e96510e.mp3,hum/a33c23c9a79633cf.wav
54,05315cc83e38919a,song/290e01f8cf3d1dc7.mp3,hum/a33c23c9a79633cf.wav
55,05315cc83e38919a,song/4fed1f98da139dc1.mp3,hum/a33c23c9a79633cf.wav
56,05315cc83e38919a,song/7a6e0744b2b9a700.mp3,hum/a33c23c9a79633cf.wav
57,05315cc83e38919a,song/580312b779993d0a.mp3,hum/a33c23c9a79633cf.wav
58,05315cc83e38919a,song/c203b60afea5f106.mp3,hum/a33c23c9a79633cf.wav
59,05315cc83e38919a,song/7b6db5eabb244be1.mp3,hum/a33c23c9a79633cf.wav
60,05315cc83e38919a,song/4669af186ee157f5.mp3,hum/a530c8c9d2774279.wav
61,05315cc83e38919a,song/15bb8d893abb9eff.mp3,hum/a530c8c9d2774279.wav
62,05315cc83e38919a,song/5dcc01b57c63e6a2.mp3,hum/a530c8c9d2774279.wav
64,05315cc83e38919a,song/bbfbd10b3d3d6eec.mp3,hum/a530c8c9d2774279.wav
65,05315cc83e38919a,song/75c8cba8ed3e39dc.mp3,hum/a530c8c9d2774279.wav
66,05315cc83e38919a,song/ddf8e2ccfe88af32.mp3,hum/a530c8c9d2774279.wav
67,05315cc83e38919a,song/14e6e8b07e96510e.mp3,hum/a530c8c9d2774279.wav
68,05315cc83e38919a,song/290e01f8cf3d1dc7.mp3,hum/a530c8c9d2774279.wav
69,05315cc83e38919a,song/4fed1f98da139dc1.mp3,hum/a530c8c9d2774279.wav
70,05315cc83e38919a,song/7a6e0744b2b9a700.mp3,hum/a530c8c9d2774279.wav
71,05315cc83e38919a,song/580312b779993d0a.mp3,hum/a530c8c9d2774279.wav
72,05315cc83e38919a,song/c203b60afea5f106.mp3,hum/a530c8c9d2774279.wav
73,05315cc83e38919a,song/7b6db5eabb244be1.mp3,hum/a530c8c9d2774279.wav
74,05315cc83e38919a,song/4669af186ee157f5.mp3,hum/f37efd49853b10cf.wav
75,05315cc83e38919a,song/15bb8d893abb9eff.mp3,hum/f37efd49853b10cf.wav
76,05315cc83e38919a,song/5dcc01b57c63e6a2.mp3,hum/f37efd49853b10cf.wav
78,05315cc83e38919a,song/bbfbd10b3d3d6eec.mp3,hum/f37efd49853b10cf.wav
79,05315cc83e38919a,song/75c8cba8ed3e39dc.mp3,hum/f37efd49853b10cf.wav
80,05315cc83e38919a,song/ddf8e2ccfe88af32.mp3,hum/f37efd49853b10cf.wav
81,05315cc83e38919a,song/14e6e8b07e96510e.mp3,hum/f37efd49853b10cf.wav
82,05315cc83e38919a,song/290e01f8cf3d1dc7.mp3,hum/f37efd49853b10cf.wav
83,05315cc83e38919a,song/4fed1f98da139dc1.mp3,hum/f37efd49853b10cf.wav
84,05315cc83e38919a,song/7a6e0744b2b9a700.mp3,hum/f37efd49853b10cf.wav
85,05315cc83e38919a,song/580312b779993d0a.mp3,hum/f37efd49853b10cf.wav
86,05315cc83e38919a,song/c203b60afea5f106.mp3,hum/f37efd49853b10cf.wav
87,05315cc83e38919a,song/7b6db5eabb244be1.mp3,hum/f37efd49853b10cf.wav
